Dirección	Barrio	N° Registro
AV. CORRIENTES 1856, 1° 5117	BALVANERA	RL-2021-26854907-GCABA-DGDTU
AV. SANTA FE 4016, 4° B	PALERMO	RL-2021-27290705-GCABA-DGDTU
PACHECO 2141/43, 2° B	VILLA URQUIZA	RL-2021-27305620-GCABA-DGDTU
AV. ROOSEVELT 4905, 3° F	VILLA URQUIZA	RL-2021-27307160-GCABA-DGDTU
ESMERALDA 697, 5° D	SANNICOLAS	RL-2021-30605207-GCABA-DGDTU
LOPEZ, CARLOS ANTONIO 3072, 4° A	VILLA PUEYRREDON	RL-2021-30605898-GCABA-DGDTU
AV. SANTA FE 1651, 6° 8	RECOLETA	RL-2021-30606766-GCABA-DGDTU
LAMBARÉ 948, 4° C	ALMAGRO	RL-2021-30607265-GCABA-DGDTU
RODRIGUEZ PEÑA 431, 1° G	SANNICOLAS	RL-2021-30608920-GCABA-DGDTU
AV. CNEL. DÍAZ 1795, 2° B	RECOLETA	RL-2021-30609294-GCABA-DGDTU
GUATEMALA 5071, 7° B	PALERMO	RL-2021-31475302-GCABA-DGDTU
BARTOLOMEMITRE 1225, 7° 704	SANNICOLAS	RL-2021-35675022-GCABA-DGDTU
MARISCAL ANTONIO JOSEDE SUCRE 1575, 3° D	BELGRANO	RL-2021-35678253-GCABA-DGDTU
AV. DEMAYO 1360, 5° A	MONSERRAT	RL-2021-35678899-GCABA-DGDTU
FRAY JUSTOSANTAMARIA DEORO 2636, 4° D	PALERMO	RL-2021-38209557-GCABA-DGDTU
MENDOZA 1731, 10o D	BELGRANO	RL-2021-39033027-GCABA-DGDTU
PARAGUAY 857, PB	RETIRO	RL-2022-07621856-GCABA-DGDTU
SARANDI 823, 1° 2	SANCRISTOBAL	RL-2022-07627579-GCABA-DGDTU
ANCHORENA 1261, 2° B	RECOLETA	RL-2022-07627854-GCABA-DGDTU
AVELLANEDA 1075, 3o C	CABALLITO	RL-2022-08758924-GCABA-DGDTU
FITZ ROY 2070, 5o 504	PALERMO	RL-2022-08758322-GCABA-DGDTU
BOLIVAR 1610/18, 3o E	BARRACAS	RL-2022-09329770-GCABA-DGDTU
MARISCAL ANTONIO JOSEDE SUCRE 1575, 7° D	BELGRANO	RL-2022-09328834-GCABA-DGDTU
BOLIVIA 2724	VILLA DEL PARQUE	RL-2022-10061829-GCABA-DGDTU
BULNES 1919, 1° A	PALERMO	RL-2022-10940714-GCABA-DGDTU
AV. CORRIENTES 676, 3° A	SANNICOLAS	RL-2022-12376646-GCABA-DGDTU
CERRITO 36, 10o B	SANNICOLAS	RL-2022-12930415-GCABA-DGDTU
JUNCAL 858, 7o C	RETIRO	RL-2022-13879913-GCABA-DGDTU
PARAGUAY 857, PB	RETIRO	RL-2022-15744461-GCABA-DGDTU
AV. CERVIÑO 3664, 6o C	PALERMO	RL-2022-16248523-GCABA-DGDTU
PARAGUAY 3968, 4o B	PALERMO	RL-2022-17865419-GCABA-DGDTU
THAMES 676, 6o A	VILLA CRESPO	RL-2022-17867911-GCABA-DGDTU
3 de FEBRERO 2552, 5° D	BELGRANO	RL-2022-19892060-GCABA-DGDTU
GUEMES 4255, 9° D	PALERMO	RL-2022-19892589-GCABA-DGDTU
RUGGIERI 2791, 5° B	PALERMO	RL-2022-19893051-GCABA-DGDTU
DIAZ COLODRERO 2849, 4° A	VILLA URQUIZA	RL-2022-19893442-GCABA-DGDTU
LAVALLE 1539, 2° 32	SANNICOLAS	RL-2022-19893792-GCABA-DGDTU
LARREA 1230, 4° D	RECOLETA	RL-2022-19894571-GCABA-DGDTU
PARAGUAY 857, 4° 401	RETIRO	RL-2022-19895036-GCABA-DGDTU
LAVALLE 3086, 2° B	BALVANERA	RL-2022-22566543-GCABA-DGDTU
LAVALLE 3086, 2° C	BALVANERA	RL-2022-22566982-GCABA-DGDTU
LAVALLE 3086, 2° E	BALVANERA	RL-2022-24353977-GCABA-DGDTU
LAVALLE 3086, 2° F	BALVANERA	RL-2022-24359610-GCABA-DGDTU
LAVALLE 3086, 3° A	BALVANERA	RL-2022-24362233-GCABA-DGDTU
LAVALLE 3086, 3° B	BALVANERA	RL-2022-24365999-GCABA-DGDTU
LAVALLE 3086, 3° C	BALVANERA	RL-2022-24370487-GCABA-DGDTU
LAVALLE 3086, 3° D	BALVANERA	RL-2022-24371790-GCABA-DGDTU
LAVALLE 3086, 3° E	BALVANERA	RL-2022-24373299-GCABA-DGDTU
LAVALLE 3086, 3° F	BALVANERA	RL-2022-24374156-GCABA-DGDTU
LAVALLE 3086, 3° G	BALVANERA	RL-2022-24374982-GCABA-DGDTU
LAVALLE 3086, 3° H	BALVANERA	RL-2022-24376257-GCABA-DGDTU
LAVALLE 3086, 4° A	BALVANERA	RL-2022-24376942-GCABA-DGDTU
LAVALLE 3086, 4° B	BALVANERA	RL-2022-24377701-GCABA-DGDTU
LAVALLE 3086, 4° C	BALVANERA	RL-2022-24378282-GCABA-DGDTU
LAVALLE 3086, 4° D	BALVANERA	RL-2022-24379286-GCABA-DGDTU
LAVALLE 3086, 5° A	BALVANERA	RL-2022-24380142-GCABA-DGDTU
LAVALLE 3086, 5° B	BALVANERA	RL-2022-24380898-GCABA-DGDTU
LAVALLE 3086, 6° E	BALVANERA	RL-2022-24382076-GCABA-DGDTU
LAVALLE 3086, 4° H	BALVANERA	RL-2022-23956953-GCABA-DGDTU
LAVALLE 3086, 4° G	BALVANERA	RL-2022-23956267-GCABA-DGDTU
LAVALLE 3086, 4° E	BALVANERA	RL-2022-23955544-GCABA-DGDTU
LAVALLE 3086, 4° F	BALVANERA	RL-2022-23954985-GCABA-DGDTU
LAVALLE 3086, 6° H	BALVANERA	RL-2022-23954051-GCABA-DGDTU
LAVALLE 3086, 6° G	BALVANERA	RL-2022-23953022-GCABA-DGDTU
LAVALLE 3086, 6° F	BALVANERA	RL-2022-23946979-GCABA-DGDTU
PARAGUAY 857, 5° 505	RETIRO	RL-2022-24409245-GCABA-DGDTU
PARAGUAY 857, 5° 506	RETIRO	RL-2022-24408684-GCABA-DGDTU
SUIPACHA 1235, 3o 305	RETIRO	RL-2022-25253602-GCABA-DGDTU
PARAGUAY 857, 5° 504	RETIRO	RL-2022-26192659-GCABA-DGDTU
PARAGUAY 857, 5° 503	RETIRO	RL-2022-26193746-GCABA-DGDTU
PARAGUAY 857, 5° 502	RETIRO	RL-2022-26194636-GCABA-DGDTU
PARAGUAY 857, 5° 501	RETIRO	RL-2022-26213677-GCABA-DGDTU
PARAGUAY 857, 4° 406	RETIRO	RL-2022-26215820-GCABA-DGDTU
PARAGUAY 857, 4° 405	RETIRO	RL-2022-26216818-GCABA-DGDTU
PARAGUAY 857, 4° 404	RETIRO	RL-2022-26218589-GCABA-DGDTU
ROOSEVELT FRANKLIN D. AV. 5334, 1° C	VILLA URQUIZA	RL-2022-26666593-GCABA-DGDTU
ROOSEVELT FRANKLIN D. AV. 4901, 5o F	VILLA URQUIZA	RL-2022-27948615-GCABA-DGDTU
CORDOBA AV. 6072, 7o 704	CHACARITA	RL-2022-28871424-GCABA-DGDTU
AMBROSETTI, JUAN B. 145, 5o D	CABALLITO	RL-2022-29771656-GCABA-DGDTU
THAMES 2313, 1o 103	PALERMO	RL-2022-30220130-GCABA-DGDTU
SUIPACHA 1235, 4° 404	RETIRO	RL-2022-30210737-GCABA-DGDTU
SUIPACHA 1235, 6° 605	RETIRO	RL-2022-30211610-GCABA-DGDTU
SUIPACHA 1235, 6° 608	RETIRO	RL-2022-30212915-GCABA-DGDTU
SUIPACHA 1235, 11° 1106	RETIRO	RL-2022-30215866-GCABA-DGDTU
SUIPACHA 1235, 3° 307	RETIRO	RL-2022-30216907-GCABA-DGDTU
SUIPACHA 1235, 5° 501	RETIRO	RL-2022-30218725-GCABA-DGDTU
SUIPACHA 1235, 8° 810	RETIRO	RL-2022-30831302-GCABA-DGDTU
SUIPACHA 1235, 6° 602	RETIRO	RL-2022-30832101-GCABA-DGDTU
SUIPACHA 1235, 10° 1005	RETIRO	RL-2022-30832475-GCABA-DGDTU
SUIPACHA 1235, 4° 406	RETIRO	RL-2022-30833378-GCABA-DGDTU
SUIPACHA 1235, 4° 402	RETIRO	RL-2022-30833672-GCABA-DGDTU
CONESA 2046, 9° A	BELGRANO	RL-2022-30847275-GCABA-DGDTU
3 DE FEBRERO 990, 8° 1	PALERMO	RL-2022-30850407-GCABA-DGDTU
UGARTE 2709, 2° A	BELGRANO	RL-2022-30852692-GCABA-DGDTU
YERBAL 163, 5o B	CABALLITO	RL-2021-08142506-GCABA-DGTALET
RODRIGUEZ PEÑA 217, PB 2	SANNICOLAS	RL-2021-07813075-GCABA-DGTALET
PARAGUAY 857, 6o 603	RETIRO	RL-2022-32766496-GCABA-DGDTU
PARAGUAY 857, 7o 701	RETIRO	RL-2022-32765481-GCABA-DGDTU
PARAGUAY 857, 6o 604	RETIRO	RL-2022-32763522-GCABA-DGDTU
PARAGUAY 857, 6o 606	RETIRO	RL-2022-32758699-GCABA-DGDTU
PARAGUAY 857, 6o 601	RETIRO	RL-2022-32757590-GCABA-DGDTU
PARAGUAY 857, 6o 602	RETIRO	RL-2022-32749069-GCABA-DGDTU
PARAGUAY 857, 6o 605	RETIRO	RL-2022-33542935-GCABA-DGDTU
PARAGUAY 857, 8o 801	RETIRO	RL-2022-33543738-GCABA-DGDTU
PARAGUAY 857, 7o 706	RETIRO	RL-2022-33544475-GCABA-DGDTU
PARAGUAY 857, 7o 705	RETIRO	RL-2022-33545114-GCABA-DGDTU
PARAGUAY 857, 7o 704	RETIRO	RL-2022-33545643-GCABA-DGDTU
PARAGUAY 857, 7o 702	RETIRO	RL-2022-33547328-GCABA-DGDTU
PARAGUAY 857, 8o 802	RETIRO	RL-2022-33547797-GCABA-DGDTU
PARAGUAY 857, 8o 803	RETIRO	RL-2022-33548259-GCABA-DGDTU
URIARTE 1867, PB 2	PALERMO	RL-2022-35534770-GCABA-DGDTU
GUATEMALA 4733, 4o D	PALERMO	RL-2022-35535533-GCABA-DGDTU
LAS HERASGENERAL AV. 2925, 11o 56	PALERMO	RL-2022-35536278-GCABA-DGDTU
SUIPACHA 1235, 3o 306	RETIRO	RL-2022-35497494-GCABA-DGDTU
SUIPACHA 1235, 3o 303	RETIRO	RL-2022-35498171-GCABA-DGDTU
SUIPACHA 1235, 2o 206	RETIRO	RL-2022-35498953-GCABA-DGDTU
SUIPACHA 1235, 2o 205	RETIRO	RL-2022-35500889-GCABA-DGDTU
SUIPACHA 1235, 2o 203	RETIRO	RL-2022-35502377-GCABA-DGDTU
SUIPACHA 1235, 10o 1003	RETIRO	RL-2022-35504171-GCABA-DGDTU
SUIPACHA 1235, 11° 1107	RETIRO	RL-2022-35504928-GCABA-DGDTU
SUIPACHA 1235, 8° 808	RETIRO	RL-2022-35505930-GCABA-DGDTU
SUIPACHA 1235, 9o 901	RETIRO	RL-2022-35506600-GCABA-DGDTU
SUIPACHA 1235, 6o 611	RETIRO	RL-2022-35507831-GCABA-DGDTU
SUIPACHA 1235, 7o 704	RETIRO	RL-2022-35527474-GCABA-DGDTU
SUIPACHA 1235, 7o 710	RETIRO	RL-2022-35528079-GCABA-DGDTU
SUIPACHA 1235, 5o 506	RETIRO	RL-2022-35528740-GCABA-DGDTU
SUIPACHA 1235, 5o 508	RETIRO	RL-2022-35529415-GCABA-DGDTU
SUIPACHA 1235, 5o 511	RETIRO	RL-2022-35530147-GCABA-DGDTU
SUIPACHA 1235, 5o 503	RETIRO	RL-2022-35530778-GCABA-DGDTU
SUIPACHA 1235, 5o 507	RETIRO	RL-2022-35531386-GCABA-DGDTU
SUIPACHA 1235, 5o 510	RETIRO	RL-2022-35531951-GCABA-DGDTU
SUIPACHA 1235, 5o 505	RETIRO	RL-2022-35532578-GCABA-DGDTU
SUIPACHA 1235, 4o 401	RETIRO	RL-2022-35533442-GCABA-DGDTU
SUIPACHA 1235, 1o 105	RETIRO	RL-2022-35534101-GCABA-DGDTU
Paraguay 4440, 1° E	PALERMO	RL-2022-37205451-GCABA-DGDTU
CORRIENTES AV. 818, 16° 1611	SANNICOLAS	RL-2022-37726072-GCABA-DGDTU
CORRIENTES AV. 818, 25° 2510	SANNICOLAS	RL-2022-37727076-GCABA-DGDTU
TUCUMAN 810, 7° 46	SANNICOLAS	RL-2022-37728739-GCABA-DGDTU
CABRAL, SGTO. 825, 6° 28	RETIRO	RL-2022-38051025-GCABA-DGDTU
CLAY 3082, 1°/2°	PALERMO	RL-2022-38049661-GCABA-DGDTU
SUIPACHA 1235, 9o 911	RETIRO	RL-2022-39026932-GCABA-DGDTU
SUIPACHA 1235, 11o 1108	RETIRO	RL-2022-39026333-GCABA-DGDTU
SUIPACHA 1235, 9o 902	RETIRO	RL-2022-39025783-GCABA-DGDTU
SUIPACHA 1235, 9o 904	RETIRO	RL-2022-39025232-GCABA-DGDTU
SUIPACHA 1235, 11o 1105	RETIRO	RL-2022-39024567-GCABA-DGDTU
SUIPACHA 1235, 9o 903	RETIRO	RL-2022-39024069-GCABA-DGDTU
SUIPACHA 1235, 4o 405	RETIRO	RL-2022-39023473-GCABA-DGDTU
SUIPACHA 1235, 4o 407	RETIRO	RL-2022-39022944-GCABA-DGDTU
SUIPACHA 1235, 8o 805	RETIRO	RL-2022-39022339-GCABA-DGDTU
SUIPACHA 1235, 1o 101	RETIRO	RL-2022-39021096-GCABA-DGDTU
SUIPACHA 1235, 2o 207	RETIRO	RL-2022-39020600-GCABA-DGDTU
SUIPACHA 1235, 2o 201	RETIRO	RL-2022-39019802-GCABA-DGDTU
SUIPACHA 1235, 1o 109	RETIRO	RL-2022-39018976-GCABA-DGDTU
SUIPACHA 1235, 1o 108	RETIRO	RL-2022-39018353-GCABA-DGDTU
SUIPACHA 1235, 1o 104	RETIRO	RL-2022-39017429-GCABA-DGDTU
SUIPACHA 1235, 3o 311	RETIRO	RL-2022-39016812-GCABA-DGDTU
SUIPACHA 1235, 3o 310	RETIRO	RL-2022-39016006-GCABA-DGDTU
SUIPACHA 1235, 2o 208	RETIRO	RL-2022-39015261-GCABA-DGDTU
SUIPACHA 1235, 3o 308	RETIRO	RL-2022-39014346-GCABA-DGDTU
SUIPACHA 1235, 2o 210	RETIRO	RL-2022-39013431-GCABA-DGDTU
SUIPACHA 1235, 2o 209	RETIRO	RL-2022-39011911-GCABA-DGDTU
DIAZ COLODRERO 2849, 5° B	VILLA URQUIZA	RL-2022-40706303-GCABA-DGDTU
ANDONAEGUI 2294, 6° B	VILLA URQUIZA	RL-2022-40707033-GCABA-DGDTU
CORDOBA AV. 6072, 4o 404	CHACARITA	RL-2022-40709074-GCABA-DGDTU
PARAGUAY 857, 9° 905	RETIRO	RL-2022-40709555-GCABA-DGDTU
PARAGUAY 857, 9° 906	RETIRO	RL-2022-40710067-GCABA-DGDTU
PARAGUAY 857, 8° 804	RETIRO	RL-2022-40710569-GCABA-DGDTU
PARAGUAY 857, 8° 805	RETIRO	RL-2022-40711024-GCABA-DGDTU
PARAGUAY 857, 8° 806	RETIRO	RL-2022-40711716-GCABA-DGDTU
PARAGUAY 857, 9° 901	RETIRO	RL-2022-40712613-GCABA-DGDTU
PARAGUAY 857, 9° 902	RETIRO	RL-2022-40713514-GCABA-DGDTU
PARAGUAY 857, 9° 903	RETIRO	RL-2022-40714283-GCABA-DGDTU
PARAGUAY 857, 9° 904	RETIRO	RL-2022-40714981-GCABA-DGDTU
PARAGUAY 857, 10° 1001	RETIRO	RL-2022-43017935-GCABA-DGDTU
PARAGUAY 857, 10° 1005	RETIRO	RL-2022-43019099-GCABA-DGDTU
PARAGUAY 857, 10° 1003	RETIRO	RL-2022-43020237-GCABA-DGDTU
PARAGUAY 857, 10° 1004	RETIRO	RL-2022-43021657-GCABA-DGDTU
PARAGUAY 857, 10° 1002	RETIRO	RL-2022-43027852-GCABA-DGDTU
SUIPACHA 1235, 2° 211	RETIRO	RL-2022-43040671-GCABA-DGDTU
PARAGUAY 857, 2° 201	RETIRO	RL-2022-44557288-GCABA-DGDTU
PARAGUAY 857, 1° 104	RETIRO	RL-2022-44556382-GCABA-DGDTU
PARAGUAY 857, 1° 103	RETIRO	RL-2022-44555028-GCABA-DGDTU
PARAGUAY 857, 1° 102	RETIRO	RL-2022-44553150-GCABA-DGDTU
PARAGUAY 857, 1° 101	RETIRO	RL-2022-44551860-GCABA-DGDTU
PARAGUAY 857, 2° 204	RETIRO	RL-2022-44549725-GCABA-DGDTU
PARAGUAY 857, 2° 203	RETIRO	RL-2022-44559525-GCABA-DGDTU
PARAGUAY 857, 14° 1402	RETIRO	RL-2022-44560723-GCABA-DGDTU
PARAGUAY 857, 12° 1206	RETIRO	RL-2022-44562768-GCABA-DGDTU
PARAGUAY 857, 12° 1205	RETIRO	RL-2022-44563762-GCABA-DGDTU
PARAGUAY 857, 12° 1204	RETIRO	RL-2022-44564799-GCABA-DGDTU
PARAGUAY 857, 12° 1202	RETIRO	RL-2022-44565962-GCABA-DGDTU
PARAGUAY 857, 12° 1201	RETIRO	RL-2022-44566823-GCABA-DGDTU
PARAGUAY 857, 11° 1106	RETIRO	RL-2022-44567752-GCABA-DGDTU
PARAGUAY 857, 14° 1401	RETIRO	RL-2022-44568448-GCABA-DGDTU
CERVIÑO AV. 4678, 8° D	PALERMO	RL-2022-44548769-GCABA-DGDTU
ZAPIOLA 2442, 2o D	BELGRANO	RL-2022-47053038-GCABA-DGDTU
CIUDADDE LA PAZ 176, 12o 10	PALERMO	RL-2022-47601297-GCABA-DGDTU
LAVALLE 3086, 5° G	BALVANERA	RL-2023-01996509-GCABA-DGDTU
LAVALLE 3086, 5° F	BALVANERA	RL-2023-01994535-GCABA-DGDTU
LAVALLE 3086, 5° E	BALVANERA	RL-2023-01993095-GCABA-DGDTU
SUIPACHA 1235, 4° 410	RETIRO	RL-2023-02062959-GCABA-DGDTU
SUIPACHA 1235, 6° 606	RETIRO	RL-2023-02060127-GCABA-DGDTU
SUIPACHA 1235, 3° 304	RETIRO	RL-2023-02058982-GCABA-DGDTU
SUIPACHA 1235, 2° 202	RETIRO	RL-2023-02057623-GCABA-DGDTU
SUIPACHA 1235, 8° 801	RETIRO	RL-2023-02056082-GCABA-DGDTU
SUIPACHA 1235, 6° 607	RETIRO	RL-2023-02048954-GCABA-DGDTU
LAVALLE 477, 2o X	SANNICOLAS	RL-2023-04016175-GCABA-DGDTU
PARAGUAY 4440, 4o B	PALERMO	RL-2023-04016924-GCABA-DGDTU
YRIGOYEN, HIPOLITO 910, 2o E	MONSERRAT	RL-2023-04890952-GCABA-DGDTU
GUATEMALA 4749, 3o E	PALERMO	RL-2023-04901343-GCABA-DGDTU
SUIPACHA 1235, 10o 1006	RETIRO	RL-2023-04891605-GCABA-DGDTU
SUIPACHA 1235, 10o 1004	RETIRO	RL-2023-04892531-GCABA-DGDTU
SUIPACHA 1235, 11o 1104	RETIRO	RL-2023-04892997-GCABA-DGDTU
SUIPACHA 1235, 9o 907	RETIRO	RL-2023-04893562-GCABA-DGDTU
SUIPACHA 1235, 9o 910	RETIRO	RL-2023-04894105-GCABA-DGDTU
